SAMPLE_ID,cyt,zsc
TCGA-HV-A5A5-01,ADAM8,0.008
TCGA-IB-7890-01,ADAM8,0.1958
TCGA-HV-A7OL-01,ADAM8,1.7492
TCGA-HZ-A49G-01,ADAM8,0.5426
TCGA-IB-AAUP-01,ADAM8,0.1439
TCGA-IB-A6UF-01,ADAM8,0.9326
TCGA-YH-A8SY-01,ADAM8,1.1325
TCGA-3A-A9IX-01,ADAM8,-0.6163
TCGA-2J-AAB1-01,ADAM8,0.523
TCGA-2J-AAB4-01,ADAM8,0.5652
TCGA-HV-AA8V-01,ADAM8,0.0744
TCGA-2L-AAQI-01,ADAM8,-0.3159
TCGA-IB-A5SO-01,ADAM8,0.4486
TCGA-IB-7647-01,ADAM8,0.1318
TCGA-Q3-A5QY-01,ADAM8,0.1628
TCGA-FB-A4P6-01,ADAM8,-0.4475
TCGA-US-A774-01,ADAM8,-0.1553
TCGA-L1-A7W4-01,ADAM8,1.3282
TCGA-2J-AABR-01,ADAM8,-0.4936
TCGA-F2-A44H-01,ADAM8,0.434
TCGA-IB-AAUT-01,ADAM8,0.0485
TCGA-HZ-A77O-01,ADAM8,-1.3436
TCGA-HZ-7924-01,ADAM8,-1.2706
TCGA-IB-AAUS-01,ADAM8,0.9963
TCGA-F2-7276-01,ADAM8,-1.0352
TCGA-HZ-A49I-01,ADAM8,1.3443
TCGA-2J-AABF-01,ADAM8,0.4114
TCGA-IB-AAUO-01,ADAM8,0.5754
TCGA-IB-AAUQ-01,ADAM8,-0.1078
TCGA-XN-A8T3-01,ADAM8,-0.3465
TCGA-IB-AAUN-01,ADAM8,0.0819
TCGA-HZ-8519-01,ADAM8,-0.6068
TCGA-IB-7888-01,ADAM8,-0.8912
TCGA-YB-A89D-01,ADAM8,0.6199
TCGA-HZ-A4BK-01,ADAM8,0.2754
TCGA-IB-AAUR-01,ADAM8,0.3533
TCGA-F2-7273-01,ADAM8,-0.7814
TCGA-HZ-A77Q-01,ADAM8,0.0136
TCGA-Z5-AAPL-01,ADAM8,0.4051
TCGA-IB-8126-01,ADAM8,-1.2026
TCGA-IB-7649-01,ADAM8,-1.3564
TCGA-IB-7652-01,ADAM8,0.3018
TCGA-HZ-A4BH-01,ADAM8,0.9693
TCGA-3A-A9IB-01,ADAM8,0.4726
TCGA-HZ-7920-01,ADAM8,-2.0201
TCGA-IB-7645-01,ADAM8,0.0901
TCGA-HZ-8005-01,ADAM8,0.7386
TCGA-2J-AABP-01,ADAM8,-1.0722
TCGA-IB-A7LX-01,ADAM8,1.6784
TCGA-HZ-8636-01,ADAM8,0.7608
TCGA-IB-8127-01,ADAM8,0.0927
TCGA-HZ-8638-01,ADAM8,-1.0622
TCGA-HZ-8315-01,ADAM8,-0.0521
TCGA-HZ-7926-01,ADAM8,0.0288
TCGA-HZ-7918-01,ADAM8,-1.3362
TCGA-H6-8124-01,ADAM8,0.3599
TCGA-FB-A7DR-01,ADAM8,-0.4035
TCGA-HZ-8002-01,ADAM8,-1.5372
TCGA-IB-7891-01,ADAM8,-0.5331
TCGA-F2-A7TX-01,ADAM8,0.2319
TCGA-HZ-7919-01,ADAM8,-0.0639
TCGA-HZ-8003-01,ADAM8,-0.1674
TCGA-IB-A5SS-01,ADAM8,0.6468
TCGA-IB-7897-01,ADAM8,-1.3078
TCGA-HZ-7923-01,ADAM8,-0.5315
TCGA-IB-7886-01,ADAM8,-0.7043
TCGA-IB-7893-01,ADAM8,-0.2084
TCGA-IB-7651-01,ADAM8,-0.3754
TCGA-2J-AAB6-01,ADAM8,1.5157
TCGA-IB-7646-01,ADAM8,-0.53
TCGA-HZ-8637-01,ADAM8,0.6072
TCGA-HV-A7OP-01,AHR,-1.3947
TCGA-2L-AAQL-01,AHR,-0.8684
TCGA-2J-AABV-01,AHR,-2.3827
TCGA-HV-AA8X-01,AHR,0.3772
TCGA-FB-AAQ0-01,AHR,1.1662
TCGA-3A-A9J0-01,AHR,-0.9559
TCGA-FB-AAQ1-01,AHR,-0.5844
TCGA-HZ-A8P1-01,AHR,0.2281
TCGA-3A-A9I5-01,AHR,-1.9765
TCGA-US-A779-01,AHR,-0.415
TCGA-FB-AAQ6-01,AHR,0.15
TCGA-HZ-A8P0-01,AHR,-0.0741
TCGA-3A-A9IJ-01,AHR,-3.3564
TCGA-3A-A9IR-01,AHR,-3.6997
TCGA-LB-A8F3-01,AHR,-1.4361
TCGA-LB-A7SX-01,AHR,0.5345
TCGA-3E-AAAZ-01,AHR,0.235
TCGA-2L-AAQM-01,AHR,-2.0316
TCGA-FB-AAPQ-01,AHR,0.2271
TCGA-US-A77G-01,AHR,0.631
TCGA-2J-AABO-01,AHR,-0.2522
TCGA-FB-AAQ3-01,AHR,1.2779
TCGA-HV-A5A6-01,AHR,1.5391
TCGA-2L-AAQE-01,AHR,0.3645
TCGA-FB-AAPU-01,AHR,1.0555
TCGA-3A-A9IN-01,AHR,-1.5375
TCGA-2L-AAQJ-01,AHR,-0.1811
TCGA-HZ-8001-01,AHR,0.0469
TCGA-RL-AAAS-01,AHR,-0.6642
TCGA-HZ-A9TJ-01,AHR,1.1822
TCGA-2J-AABA-01,AHR,0.0143
TCGA-HZ-A77P-01,AHR,-0.5054
TCGA-IB-7889-01,AHR,-0.1336
TCGA-FB-A5VM-01,AHR,-1.5208
TCGA-3A-A9I9-01,AHR,-0.6329
TCGA-OE-A75W-01,AHR,-1.2834
TCGA-Q3-AA2A-01,AHR,0.4856
TCGA-IB-7887-01,AHR,1.0317
TCGA-FB-AAPS-01,AHR,-0.4987
TCGA-HV-A5A3-01,AHR,1.4316
TCGA-2J-AABH-01,AHR,1.1274
TCGA-HZ-7289-01,AHR,-0.0013
TCGA-3A-A9IS-01,AHR,-4.5814
TCGA-IB-A7M4-01,AHR,0.0559
TCGA-FB-A78T-01,AHR,-0.6745
TCGA-3A-A9IV-01,AHR,-2.4898
TCGA-3A-A9IO-01,AHR,-2.7727
TCGA-FB-AAPZ-01,AHR,1.1446
TCGA-IB-A5ST-01,AHR,-0.4949
TCGA-H6-A45N-01,AHR,0.0965
TCGA-2L-AAQA-01,AHR,1.1884
TCGA-2J-AABT-01,AHR,-0.2708
